model_app_name,experts,deployments,param_count,max_seq_len,max_seq_len_cloud,spec_decoding,batch_sizes,cloud_pefs_json,pefs,copy_pefs
Samba1 Llama3.3 Experts,"['DeepSeek-R1-Distill-Llama-70B', 'Llama-3.3-Ricoh-70B-20250325', 'Llama-3.3-Swallow-70B-Instruct-v0.4', 'Meta-Llama-3.3-70B-Instruct']","{'70b-ss-8-16-32k-3dot3-multi', '70b-ss-8-16-32k', '70b-swallow-ss-8-16-32k', '70b-ss-32-64-128k', '70b-ss-32-64-128k-3dot3-multi', '70b-3dot3-ss-16-32k-batching', '70b-l-3dot3', '70b-swallow-ss-32-64-128k'}",70b,32768,32k,TRUE,"[1, 2, 4]","{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF-1384/Llama3_70B_TP16_ss1024_4096_16384_32768_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS1024_4096_16384_32768.pef', 'copy_pef': None, 'jira': 'PEF-1384'}, 4: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs4_ss4096_8192_16384_24576_32768/Llama3_70B_TP16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference_CoE_ckpt_sharing_BS4_SS4096_8192_16384_24576_32768.pef', 'copy_pef': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs4_ss4096_8192_16384_24576_32768/copy_out/copy_out.pef', 'jira': 'PEF-1529'}, 2: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs2_ss4096_8192_16384_24576_32768/Llama3_70B_TP16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference_CoE_ckpt_sharing_BS2_SS4096_8192_16384_24576_32768.pef', 'copy_pef': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs2_ss4096_8192_16384_24576_32768/copy_out/copy_out.pef', 'jira': 'PEF-1529'}}","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF-1384/Llama3_70B_TP16_ss1024_4096_16384_32768_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS1024_4096_16384_32768.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs4_ss4096_8192_16384_24576_32768/Llama3_70B_TP16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference_CoE_ckpt_sharing_BS4_SS4096_8192_16384_24576_32768.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs2_ss4096_8192_16384_24576_32768/Llama3_70B_TP16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference_CoE_ckpt_sharing_BS2_SS4096_8192_16384_24576_32768.pef']","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs4_ss4096_8192_16384_24576_32768/copy_out/copy_out.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs2_ss4096_8192_16384_24576_32768/copy_out/copy_out.pef']"
Samba1 Llama3.3 Experts,"['DeepSeek-R1-Distill-Llama-70B', 'Llama-3.3-Ricoh-70B-20250325', 'Llama-3.3-Swallow-70B-Instruct-v0.4', 'Meta-Llama-3.3-70B-Instruct']","{'70b-l-3dot3', '70b-ss-32-64-128k', '70b-ss-32-64-128k-3dot3-multi', '70b-3dot3-ss-4-8-64-128k', '70b-distill-ss-4-8-64-128k', '70b-swallow-ss-32-64-128k'}",70b,65536,64k,TRUE,[1],"{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF-1386/Llama3_70B_TP16_ss4096_16384_32768_65536_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS4096_16384_32768_65536.pef', 'copy_pef': None, 'jira': 'PEF-1386'}}",['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF-1386/Llama3_70B_TP16_ss4096_16384_32768_65536_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS4096_16384_32768_65536.pef'],[]
Samba1 Llama3.3 Experts,"['DeepSeek-R1-Distill-Llama-70B', 'Llama-3.3-Ricoh-70B-20250325', 'Llama-3.3-Swallow-70B-Instruct-v0.4', 'Meta-Llama-3.3-70B-Instruct']","{'70b-l-3dot3', '70b-ss-32-64-128k', '70b-ss-32-64-128k-3dot3-multi', '70b-3dot3-ss-4-8-64-128k', '70b-distill-ss-4-8-64-128k', '70b-swallow-ss-32-64-128k'}",70b,131072,128k,TRUE,[1],"{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF-1388/Llama3_70B_TP16_ss4096_16384_32768_65536_131072_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS4096_16384_32768_65536_131072.pef', 'copy_pef': None, 'jira': 'PEF-1388'}}",['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF-1388/Llama3_70B_TP16_ss4096_16384_32768_65536_131072_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS4096_16384_32768_65536_131072.pef'],[]
Samba1 Llama3.3 Experts,"['DeepSeek-R1-Distill-Llama-70B', 'Llama-3.3-Ricoh-70B-20250325', 'Llama-3.3-Swallow-70B-Instruct-v0.4', 'Meta-Llama-3.3-70B-Instruct']","{'70b-ss-4-8k', 'llama70b-s', 'llama70b-deepseek-distill', '70b-3dot3-ss-4-8-64-128k', 'llama70b-s-m', '70b-swallow-ss-4-8k', '70b-distill-ss-4-8-64-128k'}",70b,4096,4k,TRUE,"[1, 2, 4, 8, 16, 32]","{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss256_512_1152_2048_4096_q_ss10/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096_Q_SS10.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 2: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 4: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 8: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs8_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS8_SS256_512_1152_2048_4096_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 16: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs16_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS16_SS256_512_1152_2048_4096_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 32: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs32_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS32_SS256_512_1152_2048_4096_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}}","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss256_512_1152_2048_4096_q_ss10/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096_Q_SS10.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs8_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS8_SS256_512_1152_2048_4096_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs16_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS16_SS256_512_1152_2048_4096_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs32_ss256_512_1152_2048_4096_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS32_SS256_512_1152_2048_4096_Q_SS6.pef']",[]
Samba1 Llama3.3 Experts,"['DeepSeek-R1-Distill-Llama-70B', 'Llama-3.3-Ricoh-70B-20250325', 'Llama-3.3-Swallow-70B-Instruct-v0.4', 'Meta-Llama-3.3-70B-Instruct']","{'70b-swallow-ss-8-16-32k', '70b-3dot3-ss-4-8-64-128k', '70b-swallow-ss-4-8k', '70b-distill-ss-4-8-64-128k', '70b-ss-4-8k', '70b-ss-8-16-32k-3dot3-multi', '70b-ss-8-16-32k', 'llama70b-deepseek-distill', 'llama70b-s-m'}",70b,8192,8k,TRUE,"[1, 2, 4, 8]","{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS4096_6400_8192_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 2: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS4096_6400_8192_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 4: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS4096_6400_8192_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 8: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs8_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS8_SS4096_6400_8192_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}}","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS4096_6400_8192_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS4096_6400_8192_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS4096_6400_8192_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs8_ss4096_6400_8192_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS8_SS4096_6400_8192_Q_SS6.pef']",[]
Samba1 DeepSeek Experts,"['DeepSeek-R1', 'DeepSeek-V3-0324']","{'deepseek-r1-fp8-16k', 'deepseek-v3-fp8-16k'}",671b,16384,16k,FALSE,[1],"{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1540/FP8_trial_Deepseek_V3_TP16_ss1024_4096_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_4096_8192_12288_16384.pef', 'copy_pef': None, 'jira': 'PEF-1540'}}",['gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1540/FP8_trial_Deepseek_V3_TP16_ss1024_4096_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_4096_8192_12288_16384.pef'],[]
Samba1 Llama3.3 Experts,"['DeepSeek-R1-Distill-Llama-70B', 'Llama-3.3-Ricoh-70B-20250325', 'Llama-3.3-Swallow-70B-Instruct-v0.4', 'Meta-Llama-3.3-70B-Instruct']","{'70b-ss-8-16-32k-3dot3-multi', '70b-ss-8-16-32k', '70b-swallow-ss-8-16-32k', 'llama70b-deepseek-distill', '70b-3dot3-ss-16-32k-batching', 'llama70b-s-m'}",70b,16384,16k,TRUE,"[1, 2, 4]","{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS8192_10752_12288_16384_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 2: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS8192_10752_12288_16384_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}, 4: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS8192_10752_12288_16384_Q_SS6.pef', 'copy_pef': None, 'jira': 'PEF-1323'}}","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS8192_10752_12288_16384_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS8192_10752_12288_16384_Q_SS6.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS8192_10752_12288_16384_Q_SS6.pef']",[]
Llama 4 Maverick,"['Llama-4-Maverick-17B-128E-Instruct', 'Llama-4-Maverick-17B-128E-Instruct-Text']","{'llama-4-medium-vision', 'llama-4-medium-text', 'llama-4-medium'}",17b,4096,4k,FALSE,[1],"{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1659/llama4_text_tp16.pef', 'copy_pef': None, 'jira': 'PEF-1659'}}","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1646/llama4_multimodal_0412_maverick_input_embeds_tp16.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1659/llama4_text_tp16.pef']",[]
Samba1 Llama3.1 Experts,"['Llama-3.1-Tulu-3-405B', 'Meta-Llama-3.1-405B-Instruct']","{'tulu405b-s-m', 'llama405B-s', 'llama405B-s-m'}",405b,4096,4k,TRUE,"[1, 2, 4]","{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss12/coe_pef_bs1_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_q_ss12_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096.pef', 'copy_pef': None, 'jira': 'PEF-1287'}, 2: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs2_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096.pef', 'copy_pef': None, 'jira': 'PEF-1287'}, 4: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs4_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096.pef', 'copy_pef': None, 'jira': 'PEF-1287'}}","['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss12/coe_pef_bs1_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_q_ss12_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs2_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096.pef', 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs4_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096.pef']",[]
Samba1 Llama3.1 Experts,"['Llama-3.1-Tulu-3-405B', 'Meta-Llama-3.1-405B-Instruct']","{'tulu405b-s-m', 'llama405B-s-m'}",405b,8192,8k,TRUE,[1],"{1: {'pef_path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss4096_6400_8192/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS4096_6400_8192.pef', 'copy_pef': None, 'jira': 'PEF-1287'}}",['gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss4096_6400_8192/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS4096_6400_8192.pef'],[]
