id,group_id,model_app_name,experts,deployments,param_count,max_seq_length,max_seq_length_cloud,spec_decoding,batch_sizes,cloud_pefs_json,cloud_models,draft_experts
Llama_4_Scout-17b-False-8192,Llama_4_Scout-17b-False,Llama 4 Scout,['Llama-4-Scout-17B-16E-Instruct'],['llama-4-small'],17b,8192,8k,False,[1],"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1653/Llama-4-Scout-17B-16E-Instruct.pef"", ""copy_pef"": null, ""jira"": ""PEF-1653""}}",{'Llama-4-Scout-17B-16E-Instruct': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-4-Scout-17B-16E-Instruct-FP8-RDU_surgery'},[]
Samba1_DeepSeek_Experts-671b-False-16384,Samba1_DeepSeek_Experts-671b-False,Samba1 DeepSeek Experts,"['DeepSeek-R1-0528', 'DeepSeek-V3-0324']","['deepseek-r1-0528-fp8-16k', 'deepseek-v3-fp8-16k']",671b,16384,16k,False,[1],"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1663_2025_05_14/coe_pef_bs1_ss1024_4096_8192_12288_16384/FP8_trial_Deepseek_V3_TP16_ss1024_4096_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_4096_8192_12288_16384.pef"", ""copy_pef"": null, ""jira"": ""PEF-1663""}}","{'DeepSeek-V3-0324': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-V3-0324-FP8-Routed-Experts-RDU-packed-disk-save', 'DeepSeek-R1-0528': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-R1-0528-per-tensor-RDU-packed'}",[]
Samba1_DeepSeek_Experts-671b-False-32768,Samba1_DeepSeek_Experts-671b-False,Samba1 DeepSeek Experts,"['DeepSeek-R1-0528', 'DeepSeek-V3-0324']","['deepseek-r1-0528-fp8-32k', 'deepseek-v3-fp8-32k']",671b,32768,32k,False,[1],"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1663_multi_prefill/FP8_trial_Deepseek_V3_TP16_ss1024_16384_24576_32768__1024_4096_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_16384_24576_32768.pef"", ""copy_pef"": null, ""jira"": ""PEF-1663""}}","{'DeepSeek-V3-0324': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-V3-0324-FP8-Routed-Experts-RDU-packed-disk-save', 'DeepSeek-R1-0528': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-R1-0528-per-tensor-RDU-packed'}",[]
Samba1_DeepSeek_Experts-671b-False-4096,Samba1_DeepSeek_Experts-671b-False,Samba1 DeepSeek Experts,['DeepSeek-V3-0324'],['deepseek-v3-fp8-4k-batching'],671b,4096,4k,False,[4],"{""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1694/bs4_4k_multi-prefill_TP16_ss512_1024_2048_4096_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS4_SS512_1024_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1694""}}",{'DeepSeek-V3-0324': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-V3-0324-FP8-Routed-Experts-RDU-packed-disk-save'},[]
Samba1_DeepSeek_Experts-671b-False-8192,Samba1_DeepSeek_Experts-671b-False,Samba1 DeepSeek Experts,"['DeepSeek-R1-0528', 'DeepSeek-V3-0324']","['deepseek-r1-0528-fp8-8k', 'deepseek-v3-fp8-8k']",671b,8192,8k,False,[1],"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1542/FP8_trial_Deepseek_V3_TP16_ss256_1024_2048_4096_8192_token_gen_seq_length2_SA_2_flags__CoE_ckpt_sharing_BS1_SS256_1024_2048_4096_8192.pef"", ""copy_pef"": null, ""jira"": ""PEF-1542""}}","{'DeepSeek-V3-0324': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-V3-0324-FP8-Routed-Experts-RDU-packed-disk-save', 'DeepSeek-R1-0528': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-R1-0528-per-tensor-RDU-packed'}",[]
Samba1_Llama3_Experts-8b-False-4096,Samba1_Llama3_Experts-8b-False,Samba1 Llama3 Experts,['Meta-Llama-Guard-3-8B'],"['70b-ss-4-8k-3dot3-llama-small', 'llama-small']",8b,4096,4k,False,"[1, 2, 4, 8]","{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs1/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS1_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs2/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS2_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs4/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS4_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}, ""8"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs8/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS8_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}}",{'Meta-Llama-Guard-3-8B': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-Guard-3-8B'},[]
Samba1_Llama3_Experts-8b-False-8192,Samba1_Llama3_Experts-8b-False,Samba1 Llama3 Experts,['Meta-Llama-Guard-3-8B'],"['70b-ss-4-8k-3dot3-llama-small', 'llama-small']",8b,8192,8k,False,"[1, 2, 4, 8]","{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs1/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS1_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs2/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS2_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs4/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS4_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}, ""8"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs8/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS8_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}}",{'Meta-Llama-Guard-3-8B': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-Guard-3-8B'},[]
Samba1_Llama3d1_Experts-405b-True-16384,Samba1_Llama3d1_Experts-405b-True,Samba1 Llama3.1 Experts,"['Llama-3.1-Tulu-3-405B', 'Meta-Llama-3.1-405B-Instruct']","['llama405B-s-m', 'tulu405b-s-m']",405b,16384,16k,True,[1],"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss8192_10752_12288_16384/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS8192_10752_12288_16384.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}}","{'Meta-Llama-3.1-405B-Instruct': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Meta-Llama-3.1-405B-Instruct_0913', 'Llama-3.1-Tulu-3-405B': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-3.1-Tulu-405B-ext'}","['Llama-3.1-Tulu-3-8B', 'Meta-Llama-3.1-8B-Instruct']"
Samba1_Llama3d1_Experts-405b-True-4096,Samba1_Llama3d1_Experts-405b-True,Samba1 Llama3.1 Experts,"['Llama-3.1-Tulu-3-405B', 'Meta-Llama-3.1-405B-Instruct']","['llama405B-s', 'llama405B-s-m', 'tulu405b-s-m']",405b,4096,4k,True,"[1, 2, 4]","{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss12/coe_pef_bs1_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_q_ss12_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs2_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs4_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}}","{'Meta-Llama-3.1-405B-Instruct': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Meta-Llama-3.1-405B-Instruct_0913', 'Llama-3.1-Tulu-3-405B': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-3.1-Tulu-405B-ext'}","['Llama-3.1-Tulu-3-8B', 'Meta-Llama-3.2-3B-Instruct']"
Samba1_Llama3d1_Experts-405b-True-8192,Samba1_Llama3d1_Experts-405b-True,Samba1 Llama3.1 Experts,"['Llama-3.1-Tulu-3-405B', 'Meta-Llama-3.1-405B-Instruct']","['llama405B-s-m', 'tulu405b-s-m']",405b,8192,8k,True,[1],"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss4096_6400_8192/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS4096_6400_8192.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}}","{'Meta-Llama-3.1-405B-Instruct': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Meta-Llama-3.1-405B-Instruct_0913', 'Llama-3.1-Tulu-3-405B': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-3.1-Tulu-405B-ext'}","['Llama-3.1-Tulu-3-8B', 'Meta-Llama-3.2-3B-Instruct']"
