model_name,rdu_arch,model_parallel_rdus,spec_decoding,mode,max_seq_length,batch_sizes
DeepSeek-R1-0528,sn40-16,16,False,infer,4096,[4]
DeepSeek-R1-0528,sn40-16,16,False,infer,8192,[1]
DeepSeek-R1-0528,sn40-16,16,False,infer,16384,[1]
DeepSeek-R1-0528,sn40-16,16,False,infer,32768,[1]
DeepSeek-R1-Distill-Llama-70B,sn40-16,16,True,infer,4096,"[1, 2, 4, 8, 16, 32]"
DeepSeek-R1-Distill-Llama-70B,sn40-16,16,True,infer,8192,"[1, 2, 4, 8]"
DeepSeek-R1-Distill-Llama-70B,sn40-16,16,True,infer,16384,"[1, 2, 4]"
DeepSeek-R1-Distill-Llama-70B,sn40-16,16,True,infer,32768,"[1, 2, 4]"
DeepSeek-R1-Distill-Llama-70B,sn40-16,16,True,infer,65536,[1]
DeepSeek-R1-Distill-Llama-70B,sn40-16,16,True,infer,131072,[1]
DeepSeek-V3-0324,sn40-16,16,False,infer,4096,[4]
DeepSeek-V3-0324,sn40-16,16,False,infer,8192,[1]
DeepSeek-V3-0324,sn40-16,16,False,infer,16384,[1]
DeepSeek-V3-0324,sn40-16,16,False,infer,32768,[1]
E5-Mistral-7B-Instruct,sn40-16,16,False,infer,4096,"[1, 4, 8, 16, 32]"
Llama-3.1-Swallow-8B-Instruct-v0.3,sn40-16,16,False,infer,4096,"[1, 2, 4, 8, 16]"
Llama-3.1-Swallow-8B-Instruct-v0.3,sn40-16,16,False,infer,8192,"[1, 2, 4, 8, 16]"
Llama-3.1-Swallow-8B-Instruct-v0.3,sn40-16,16,False,infer,16384,"[1, 2, 4]"
Llama-3.3-Swallow-70B-Instruct-v0.4,sn40-16,16,True,infer,4096,"[1, 2, 4, 8, 16, 32]"
Llama-3.3-Swallow-70B-Instruct-v0.4,sn40-16,16,True,infer,8192,"[1, 2, 4, 8]"
Llama-3.3-Swallow-70B-Instruct-v0.4,sn40-16,16,True,infer,16384,"[1, 2, 4]"
Llama-3.3-Swallow-70B-Instruct-v0.4,sn40-16,16,True,infer,32768,"[1, 2, 4]"
Llama-3.3-Swallow-70B-Instruct-v0.4,sn40-16,16,True,infer,65536,[1]
Llama-3.3-Swallow-70B-Instruct-v0.4,sn40-16,16,True,infer,131072,[1]
Llama-4-Maverick-17B-128E-Instruct,sn40-16,16,False,infer,8192,[1]
Llama-4-Maverick-17B-128E-Instruct,sn40-16,16,False,infer,16384,[1]
Llama-4-Maverick-17B-128E-Instruct,sn40-16,16,False,infer,65536,[1]
Llama-4-Maverick-17B-128E-Instruct,sn40-16,16,False,infer,131072,[1]
Meta-Llama-3.1-8B-Instruct,sn40-16,16,False,infer,4096,"[1, 2, 4, 8, 16]"
Meta-Llama-3.1-8B-Instruct,sn40-16,16,False,infer,8192,"[1, 2, 4, 8, 16]"
Meta-Llama-3.1-8B-Instruct,sn40-16,16,False,infer,16384,"[1, 2, 4]"
Meta-Llama-3.2-1B-Distill-Instruct,sn40-16,16,False,infer,4096,"[1, 2, 4, 8, 16, 32]"
Meta-Llama-3.2-1B-Distill-Instruct,sn40-16,16,False,infer,8192,"[1, 2, 4, 8]"
Meta-Llama-3.2-1B-Distill-Instruct,sn40-16,16,False,infer,16384,"[1, 2, 4, 8]"
Meta-Llama-3.2-1B-Distill-Instruct,sn40-16,16,False,infer,32768,"[1, 2, 4]"
Meta-Llama-3.2-1B-Distill-Instruct,sn40-16,16,False,infer,65536,[1]
Meta-Llama-3.2-1B-Distill-Instruct,sn40-16,16,False,infer,131072,[1]
Meta-Llama-3.2-1B-Instruct,sn40-16,16,False,infer,4096,"[1, 2, 4, 8, 16, 32]"
Meta-Llama-3.2-1B-Instruct,sn40-16,16,False,infer,8192,"[1, 2, 4, 8]"
