id,app_name,param_count,max_seq_length,max_seq_length_cloud,spec_decoding,vocab_size,cloud_pefs_json,studio_pef,studio_model,studio_only_bs,cloud_only_bs,common_bs,common_bs_matching_pefs,common_bs_different_pefs,common_bs_different_pefs_json,date_difference_for_nonmatching_pefs
Samba1_DeepSeek_Experts-671b-False-16384,Samba1 DeepSeek Experts,671b,16384,16k,False,129280,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1663_2025_05_14/coe_pef_bs1_ss1024_4096_8192_12288_16384/FP8_trial_Deepseek_V3_TP16_ss1024_4096_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_4096_8192_12288_16384.pef"", ""copy_pef"": null, ""jira"": ""PEF-1663""}}",{{ARTIFACTS_REPO}}/inference-engine/2025/pefs/deepseek-r1-16k-fp8-pef-v3/,{{ARTIFACTS_REPO}}/inference-engine/2025/checkpoints/Deepseek-R1/,[],[],[1],[],[1],"[{'batch_size': 1, 'cloud_pef': {'md5': '465331e0bc34b1011dec409bca4a1175', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1663_2025_05_14/coe_pef_bs1_ss1024_4096_8192_12288_16384/FP8_trial_Deepseek_V3_TP16_ss1024_4096_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_4096_8192_12288_16384.pef', 'upload_date': 'Thu, 15 May 2025 04:55:26 GMT'}, 'studio_pef': {'md5': 'e291000928b0f4f3bad56d1cb1faab80', 'path': 'sw-generic-daas-artifacts-dev/inference-engine/2025/pefs/deepseek-r1-16k-fp8-pef-v3/bs1/coe_pef/FP8_trial_Deepseek_V3_TP16_ss1024_8192_12288_16384_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS1_SS1024_8192_12288_16384.pef', 'upload_date': '2025-03-26T13:56:04.744-07:00'}, 'upload_date_difference_in_days': 49}]",{1: 49}
Samba1_DeepSeek_Experts-671b-False-4096,Samba1 DeepSeek Experts,671b,4096,4k,False,129280,"{""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1694/bs4_4k_multi-prefill_TP16_ss512_1024_2048_4096_token_gen_seq_length2_61_encs_flags__CoE_ckpt_sharing_BS4_SS512_1024_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1694""}}",{{ARTIFACTS_REPO}}/inference-engine/2025/pefs/deepseek-r1-4k-fp8/,{{ARTIFACTS_REPO}}/inference-engine/2025/checkpoints/Deepseek-R1/,[1],[4],[],[],[],[],{}
Samba1_DeepSeek_Experts-671b-False-8192,Samba1 DeepSeek Experts,671b,8192,8k,False,129280,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1542/FP8_trial_Deepseek_V3_TP16_ss256_1024_2048_4096_8192_token_gen_seq_length2_SA_2_flags__CoE_ckpt_sharing_BS1_SS256_1024_2048_4096_8192.pef"", ""copy_pef"": null, ""jira"": ""PEF-1542""}}",{{ARTIFACTS_REPO}}/inference-engine/2025/pefs/deepseek-r1-8k-fp8-pef-v2/,{{ARTIFACTS_REPO}}/inference-engine/2025/checkpoints/Deepseek-R1/,[],[],[1],[],[1],"[{'batch_size': 1, 'cloud_pef': {'md5': '9a1e9a194be43c6ee53658d6e5389754', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/pefs/PEF_1542/FP8_trial_Deepseek_V3_TP16_ss256_1024_2048_4096_8192_token_gen_seq_length2_SA_2_flags__CoE_ckpt_sharing_BS1_SS256_1024_2048_4096_8192.pef', 'upload_date': 'Fri, 04 Apr 2025 22:41:04 GMT'}, 'studio_pef': {'md5': '30337fb11478896988e54a6dedd42e65', 'path': 'sw-generic-daas-artifacts-dev/inference-engine/2025/pefs/deepseek-r1-8k-fp8-pef-v2/bs1/coe_pef/FP8_trial_Deepseek_V3_TP16_ss256_1024_2048_4096_8192_token_gen_seq_length2_flags_CoE_ckpt_sharing_BS1_SS256_1024_2048_4096_8192.pef', 'upload_date': '2025-03-28T17:45:51.180-07:00'}, 'upload_date_difference_in_days': 6}]",{1: 6}
Samba1_Llama3_Experts-8b-False-4096,Samba1 Llama3 Experts,8b,4096,4k,False,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs1/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS1_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs2/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS2_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs4/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS4_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}, ""8"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs8/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS8_SS4096_2048_1024.pef"", ""copy_pef"": null, ""jira"": null}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS4K_TP16/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/pad_token_id_fix/Meta-Llama-3-8B-Instruct/,[16],[],"[1, 2, 4, 8]",[],"[1, 2, 4, 8]","[{'batch_size': 1, 'cloud_pef': {'md5': '759ab624b05303952db0702916540198', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs1/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS1_SS4096_2048_1024.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:56 GMT'}, 'studio_pef': {'md5': '75910c16ea0885fb884193119c084f4c', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS4K_TP16/bs1/coe_pef/llama3_8b_0114_ss4096_2048_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS1_SS4096_2048_1024_256.pef', 'upload_date': '2025-02-10T17:57:59.244-08:00'}, 'upload_date_difference_in_days': -138}, {'batch_size': 2, 'cloud_pef': {'md5': '2fbfa63db55e7227ba3777264e4d8a4b', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs2/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS2_SS4096_2048_1024.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:52 GMT'}, 'studio_pef': {'md5': '9cbdd67a7f6b7fee8918410a962e1011', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS4K_TP16/bs2/coe_pef/llama3_8b_0114_ss4096_2048_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS2_SS4096_2048_1024_256.pef', 'upload_date': '2025-02-10T17:57:10.829-08:00'}, 'upload_date_difference_in_days': -138}, {'batch_size': 4, 'cloud_pef': {'md5': 'a04f529570df7b19e1dcd1cda97fedcf', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs4/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS4_SS4096_2048_1024.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:55 GMT'}, 'studio_pef': {'md5': '9875cbfec0af60ef75bf617b12ca6f38', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS4K_TP16/bs4/coe_pef/llama3_8b_0114_ss4096_2048_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS4_SS4096_2048_1024_256.pef', 'upload_date': '2025-02-10T17:56:51.955-08:00'}, 'upload_date_difference_in_days': -138}, {'batch_size': 8, 'cloud_pef': {'md5': 'b27168aaf15544e8da2fe4151d1337ce', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0917/bs8/Llama3_8B_TP16_ss4096_2048_1024_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS8_SS4096_2048_1024.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:57 GMT'}, 'studio_pef': {'md5': '4d533fd35f03cc370bb8c185be74d027', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS4K_TP16/bs8/coe_pef/llama3_8b_0114_ss4096_2048_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS8_SS4096_2048_1024_256.pef', 'upload_date': '2025-02-10T17:56:42.103-08:00'}, 'upload_date_difference_in_days': -138}]","{1: -138, 2: -138, 4: -138, 8: -138}"
Samba1_Llama3_Experts-8b-False-8192,Samba1 Llama3 Experts,8b,8192,8k,False,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs1/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS1_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs2/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS2_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs4/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS4_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}, ""8"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs8/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS8_SS8192_4096.pef"", ""copy_pef"": null, ""jira"": null}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS8K_TP16/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/pad_token_id_fix/Meta-Llama-3-8B-Instruct/,[16],[],"[1, 2, 4, 8]",[],"[1, 2, 4, 8]","[{'batch_size': 1, 'cloud_pef': {'md5': 'c8c3bc93e098b4e10b185df5cd885eae', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs1/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS1_SS8192_4096.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:23 GMT'}, 'studio_pef': {'md5': 'b6dc11800210d9f92bbdc496ae1a0e66', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS8K_TP16/bs1/coe_pef/llama3_8b_0114_ss8192_4096_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS1_SS8192_4096_1024_256.pef', 'upload_date': '2025-02-10T17:59:17.529-08:00'}, 'upload_date_difference_in_days': -138}, {'batch_size': 2, 'cloud_pef': {'md5': 'd6b4980a9c939f5644c417d0906ea32c', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs2/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS2_SS8192_4096.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:31 GMT'}, 'studio_pef': {'md5': '3b5ef2b53241ad1273954f51a2346445', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS8K_TP16/bs2/coe_pef/llama3_8b_0114_ss8192_4096_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS2_SS8192_4096_1024_256.pef', 'upload_date': '2025-02-10T17:58:27.054-08:00'}, 'upload_date_difference_in_days': -138}, {'batch_size': 4, 'cloud_pef': {'md5': 'e9a88ee5a276716ffc6e10e34ce29501', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs4/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS4_SS8192_4096.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:29 GMT'}, 'studio_pef': {'md5': '8d9359f5f1aabfcc10bd30e69611562e', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS8K_TP16/bs4/coe_pef/llama3_8b_0114_ss8192_4096_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS4_SS8192_4096_1024_256.pef', 'upload_date': '2025-02-10T17:58:09.354-08:00'}, 'upload_date_difference_in_days': -138}, {'batch_size': 8, 'cloud_pef': {'md5': 'bc08dd237bae009b1ed3af11874e2ef6', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/llama3d1_8b_0908/llama_3_1_8b_sl8192/bs8/coe_pef/Llama3_8B_TP16_ss8192_4096_voc128256_inference_sampling_0906_CoE_ckpt_sharing_BS8_SS8192_4096.pef', 'upload_date': 'Thu, 26 Sep 2024 22:27:38 GMT'}, 'studio_pef': {'md5': '56f8f6085f0dfe6cd0dc8a5d120e43c2', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_Experts/LLAMA3_8B_SS8K_TP16/bs8/coe_pef/llama3_8b_0114_ss8192_4096_1024_256_voc128256_inference_TP16_CoE_ckpt_sharing_BS8_SS8192_4096_1024_256.pef', 'upload_date': '2025-02-10T17:57:54.480-08:00'}, 'upload_date_difference_in_days': -138}]","{1: -138, 2: -138, 4: -138, 8: -138}"
Samba1_Llama3d1_Experts-405b-True-16384,Samba1 Llama3.1 Experts,405b,16384,16k,True,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss8192_10752_12288_16384/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS8192_10752_12288_16384.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_Llama3.1_Experts/LLAMA3_405B_SS16K_TP16_v2/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-405B-Instruct-0913-v2/,[],[],[1],[1],[],[],{}
Samba1_Llama3d1_Experts-405b-True-4096,Samba1 Llama3.1 Experts,405b,4096,4k,True,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss12/coe_pef_bs1_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_q_ss12_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs2_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs4_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_1_Llama3_1_Experts/llama3p1_405b_ss4k_tp16/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-405B-Instruct-0913-v2/,[],[],"[1, 2, 4]",[],"[1, 2, 4]","[{'batch_size': 1, 'cloud_pef': {'md5': '32156c64c7f919ee43e04c4e2f80a17f', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss12/coe_pef_bs1_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_q_ss12_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096.pef', 'upload_date': 'Fri, 10 Jan 2025 06:50:27 GMT'}, 'studio_pef': {'md5': 'a22398a65ab84db4940b10b9d0e078b5', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_1_Experts/llama3p1_405b_ss4k_tp16/bs1/coe_pef/Llama3_405B_TP16_ss4096_token_gen_seq_length6_CoE_ckpt_sharing_BS1_SS256_512_1152_2048_4096.pef', 'upload_date': '2024-11-14T12:24:44.774-08:00'}, 'upload_date_difference_in_days': 56}, {'batch_size': 2, 'cloud_pef': {'md5': '769aee59aa576de8eb5334c93d1e100c', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs2_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096.pef', 'upload_date': 'Fri, 10 Jan 2025 06:51:44 GMT'}, 'studio_pef': {'md5': '99b10d3966485ba90b282385d3175b13', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_1_Experts/llama3p1_405b_ss4k_tp16/bs2/coe_pef/Llama3_405B_TP16_ss4096_token_gen_seq_length6_CoE_ckpt_sharing_BS2_SS256_512_1152_2048_4096.pef', 'upload_date': '2024-11-14T12:23:47.230-08:00'}, 'upload_date_difference_in_days': 56}, {'batch_size': 4, 'cloud_pef': {'md5': '1af587361f7e64fbb1d323afb5b5099a', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs4_ss256_512_1152_2048_4096/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096.pef', 'upload_date': 'Fri, 10 Jan 2025 06:51:54 GMT'}, 'studio_pef': {'md5': 'ad9927d1e7c6fbf4fed992813c8a8dc8', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_1_Experts/llama3p1_405b_ss4k_tp16/bs4/coe_pef/Llama3_405B_TP16_ss4096_token_gen_seq_length6_CoE_ckpt_sharing_BS4_SS256_512_1152_2048_4096.pef', 'upload_date': '2024-11-14T12:24:08.431-08:00'}, 'upload_date_difference_in_days': 56}]","{1: 56, 2: 56, 4: 56}"
Samba1_Llama3d1_Experts-405b-True-8192,Samba1 Llama3.1 Experts,405b,8192,8k,True,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss4096_6400_8192/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS4096_6400_8192.pef"", ""copy_pef"": null, ""jira"": ""PEF-1287""}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_1_Llama3_1_Experts/llama3p1_405b_ss8k_tp16/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-405B-Instruct-0913-v2/,[],[],[1],[],[1],"[{'batch_size': 1, 'cloud_pef': {'md5': 'e7d11caa28cf9b558f7abb44d5e2722f', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1287_v3/llama3_405b_tp16_ss4096_sd_q_ss6/coe_pef_bs1_ss4096_6400_8192/Llama3_405B_TP16_ss4096_sd_q_ss6_CoE_ckpt_sharing_BS1_SS4096_6400_8192.pef', 'upload_date': 'Fri, 10 Jan 2025 06:50:19 GMT'}, 'studio_pef': {'md5': '94a7b8e1482f171b358dc4215a8f1f55', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_1_Llama3_1_Experts/llama3p1_405b_ss8k_tp16/bs1/coe_pef/Llama3_405B_TP16_ss4096_token_gen_seq_length6_CoE_ckpt_sharing_BS1_SS4096_6400_8192.pef', 'upload_date': '2024-11-14T12:25:38.710-08:00'}, 'upload_date_difference_in_days': 56}]",{1: 56}
Samba1_Llama3d1_Experts-70b-True-131072,Samba1 Llama3.1 Experts,70b,131072,128k,True,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs1_ss4096_32768_65536_106496_131072/Llama3_70B_TP16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference_CoE_ckpt_sharing_BS1_SS4096_32768_65536_106496_131072.pef"", ""copy_pef"": ""COPY_PEF_LLAMA3D1_70B_128K_PEF_BS1"", ""jira"": ""PEF-1529""}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_Llama3.1_Experts/LLAMA3_70B_SS128K_TP16_v2/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-70B-Instruct-20241217/,[],[],[1],[],[1],"[{'batch_size': 1, 'cloud_pef': {'md5': 'c56681963abd71c59fdb48d59395dcb3', 'upload_date': 'Wed, 02 Apr 2025 22:12:10 GMT', 'path': 'gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1529/llama3_70b_tp16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference/coe_pef_bs1_ss4096_32768_65536_106496_131072/Llama3_70B_TP16_ss4096_32768_65536_106496_131072__4096_16384_32768_49152_65536__4096_8192_16384_24576_32768_qs6_voc128256_balanced_inference_CoE_ckpt_sharing_BS1_SS4096_32768_65536_106496_131072.pef'}, 'studio_pef': {'md5': '2276f1afed3db47729054d180c0aae1a', 'path': 'sw-generic-daas-artifacts-dev/modelbox/pefs/Samba1_Llama3.1_Experts/LLAMA3_70B_SS128K_TP16_v2/bs1/coe_pef/Llama3_70B_TP16_ss4096_16384_32768_65536_131072_qs6_voc128256_balanced_inferencereset_buffers_loadv2_sdpa_decode_CoE_ckpt_sharing_BS1_SS4096_16384_32768_65536_131072.pef', 'upload_date': '2025-05-12T16:12:31.937-07:00'}, 'upload_date_difference_in_days': -41}]",{1: -41}
Samba1_Llama3d1_Experts-70b-True-16384,Samba1 Llama3.1 Experts,70b,16384,16k,True,128256,"{""1"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs1_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS1_SS8192_10752_12288_16384_Q_SS6.pef"", ""copy_pef"": null, ""jira"": ""PEF-1323""}, ""2"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs2_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS2_SS8192_10752_12288_16384_Q_SS6.pef"", ""copy_pef"": null, ""jira"": ""PEF-1323""}, ""4"": {""pef_path"": ""gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/pefs/PEF_1323/coe_pef_bs4_ss8192_10752_12288_16384_q_ss6/Llama3dot1_70B_TP16_ss4096_CoE_ckpt_sharing_BS4_SS8192_10752_12288_16384_Q_SS6.pef"", ""copy_pef"": null, ""jira"": ""PEF-1323""}}",{{ARTIFACTS_REPO}}/modelbox/pefs/Samba1_Llama3.1_Experts/LLAMA3DOT1_70B_SS6_TP16_v2/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-70B-Instruct-20241217/,[],[],"[1, 2, 4]","[1, 2, 4]",[],[],{}
