cloud_model_name,studio_model_name,cloud_path,studio_path,is_same,differing_files,cloud_only_files,studio_only_files
DeepSeek-R1-0528,DeepSeek-R1-4096,gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-R1-0528-per-tensor-RDU-packed,{{ARTIFACTS_REPO}}/inference-engine/2025/checkpoints/DeepSeek-R1-0528-per-tensor-RDU-packed/,False,['tokenizer_config.json'],[],[]
DeepSeek-R1-Distill-Llama-70B,DeepSeek-R1-Distill-Llama-70B,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/DeepSeek-R1-Distill-Llama-70B,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/DeepSeek-R1-Distill-Llama-70B/,False,[],['.gitattributes'],['benchmark.jpg']
DeepSeek-V3-0324,DeepSeek-V3-4096,gs://acp-coe-models-checkpoints-prod-0/version/deepseek-0.0.4/pefs-checkpoints/ckpts/DeepSeek-V3-0324-FP8-Routed-Experts-RDU-packed-disk-save,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_DeepSeek_Experts/DeepSeek-V3-FP8-Routed-Experts-RDU/,False,"['README.md', 'model-00001-of-000163.safetensors', 'model-00004-of-000163.safetensors', 'model-00006-of-000163.safetensors', 'model-00007-of-000163.safetensors', 'model-00009-of-000163.safetensors', 'model-00012-of-000163.safetensors', 'model-00013-of-000163.safetensors', 'model-00015-of-000163.safetensors', 'model-00018-of-000163.safetensors', 'model-00021-of-000163.safetensors', 'model-00023-of-000163.safetensors', 'model-00026-of-000163.safetensors', 'model-00029-of-000163.safetensors', 'model-00031-of-000163.safetensors', 'model-00034-of-000163.safetensors', 'model-00035-of-000163.safetensors', 'model-00037-of-000163.safetensors', 'model-00040-of-000163.safetensors', 'model-00043-of-000163.safetensors', 'model-00045-of-000163.safetensors', 'model-00048-of-000163.safetensors', 'model-00051-of-000163.safetensors', 'model-00053-of-000163.safetensors', 'model-00056-of-000163.safetensors', 'model-00057-of-000163.safetensors', 'model-00059-of-000163.safetensors', 'model-00062-of-000163.safetensors', 'model-00065-of-000163.safetensors', 'model-00067-of-000163.safetensors', 'model-00070-of-000163.safetensors', 'model-00073-of-000163.safetensors', 'model-00075-of-000163.safetensors', 'model-00078-of-000163.safetensors', 'model-00079-of-000163.safetensors', 'model-00081-of-000163.safetensors', 'model-00084-of-000163.safetensors', 'model-00087-of-000163.safetensors', 'model-00089-of-000163.safetensors', 'model-00092-of-000163.safetensors', 'model-00095-of-000163.safetensors', 'model-00097-of-000163.safetensors', 'model-00100-of-000163.safetensors', 'model-00101-of-000163.safetensors', 'model-00103-of-000163.safetensors', 'model-00106-of-000163.safetensors', 'model-00109-of-000163.safetensors', 'model-00111-of-000163.safetensors', 'model-00114-of-000163.safetensors', 'model-00117-of-000163.safetensors', 'model-00119-of-000163.safetensors', 'model-00122-of-000163.safetensors', 'model-00123-of-000163.safetensors', 'model-00125-of-000163.safetensors', 'model-00128-of-000163.safetensors', 'model-00131-of-000163.safetensors', 'model-00133-of-000163.safetensors', 'model-00136-of-000163.safetensors', 'model-00139-of-000163.safetensors', 'model-00141-of-000163.safetensors', 'model-00142-of-000163.safetensors', 'model-00144-of-000163.safetensors', 'model-00147-of-000163.safetensors', 'model-00150-of-000163.safetensors', 'model-00152-of-000163.safetensors', 'model-00155-of-000163.safetensors', 'model-00158-of-000163.safetensors', 'model-00160-of-000163.safetensors', 'model-00163-of-000163.safetensors', 'model.safetensors.index.json', 'packed03.safetensors', 'packed04.safetensors', 'packed05.safetensors', 'packed06.safetensors', 'packed07.safetensors', 'packed08.safetensors', 'packed09.safetensors', 'packed10.safetensors', 'packed11.safetensors', 'packed12.safetensors', 'packed13.safetensors', 'packed14.safetensors', 'packed15.safetensors', 'packed16.safetensors', 'packed17.safetensors', 'packed18.safetensors', 'packed19.safetensors', 'packed20.safetensors', 'packed21.safetensors', 'packed22.safetensors', 'packed23.safetensors', 'packed24.safetensors', 'packed25.safetensors', 'packed26.safetensors', 'packed27.safetensors', 'packed28.safetensors', 'packed29.safetensors', 'packed30.safetensors', 'packed31.safetensors', 'packed32.safetensors', 'packed33.safetensors', 'packed34.safetensors', 'packed35.safetensors', 'packed36.safetensors', 'packed37.safetensors', 'packed38.safetensors', 'packed39.safetensors', 'packed40.safetensors', 'packed41.safetensors', 'packed42.safetensors', 'packed43.safetensors', 'packed44.safetensors', 'packed45.safetensors', 'packed46.safetensors', 'packed47.safetensors', 'packed48.safetensors', 'packed49.safetensors', 'packed50.safetensors', 'packed51.safetensors', 'packed52.safetensors', 'packed53.safetensors', 'packed54.safetensors', 'packed55.safetensors', 'packed56.safetensors', 'packed57.safetensors', 'packed58.safetensors', 'packed59.safetensors', 'packed60.safetensors', 'packed61.safetensors', 'tokenizer.json', 'tokenizer_config.json']",[],"['.gitattributes', 'LICENSE', 'benchmark.jpg', 'generation_config.json']"
E5-Mistral-7B-Instruct,e5-mistral-7b-instruct-8192,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/e5-mistral-7b-instruct/,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Mistral_Experts/e5-mistral-7b-instruct-clean/,False,"['README.md', 'tokenizer_config.json']","['config_sentence_transformers.json', 'modules.json', 'pytorch_model-00001-of-00002.bin', 'pytorch_model-00002-of-00002.bin', 'pytorch_model.bin.index.json', 'sentence_bert_config.json']","['adapter_config.json', 'adapter_model.bin', 'template.jinja']"
Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-4-Maverick-17B-128E-Instruct_surgery-FP8-128E-RDU,{{ARTIFACTS_REPO}}/inference-engine/2025/checkpoints/Llama-4-Maverick-17B-128E-Instruct_surgery-FP8-128E-RDU-vision-pef-fix/,False,['tokenizer_config.json'],['chat_template.jinja'],"['model.safetensors', 'quattro_vision_full_layers_tp16.data', 'quattro_vision_full_layers_tp16.pef', 'quattro_vision_full_layers_tp16.pef.log', 'quattro_vision_full_layers_tp16_coe_meta.json', 'quattro_vision_full_layers_tp16_coe_tensors.safetensors']"
Meta-Llama-3.1-405B-Instruct,Meta-Llama-3.1-405B-Instruct,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Meta-Llama-3.1-405B-Instruct_0913,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-405B-Instruct-0913-v2/,False,"['README.md', 'tokenizer_config.json']",[],"['consolidated-00001-of-00011.pth', 'consolidated-00001-of-00022.pth', 'consolidated-00002-of-00011.pth', 'consolidated-00002-of-00022.pth', 'consolidated-00003-of-00011.pth', 'consolidated-00003-of-00022.pth', 'consolidated-00004-of-00011.pth', 'consolidated-00004-of-00022.pth', 'consolidated-00005-of-00011.pth', 'consolidated-00005-of-00022.pth', 'consolidated-00006-of-00011.pth', 'consolidated-00006-of-00022.pth', 'consolidated-00007-of-00011.pth', 'consolidated-00007-of-00022.pth', 'consolidated-00008-of-00011.pth', 'consolidated-00008-of-00022.pth', 'consolidated-00009-of-00011.pth', 'consolidated-00009-of-00022.pth', 'consolidated-00010-of-00011.pth', 'consolidated-00010-of-00022.pth', 'consolidated-00011-of-00011.pth', 'consolidated-00011-of-00022.pth', 'consolidated-00012-of-00022.pth', 'consolidated-00013-of-00022.pth', 'consolidated-00014-of-00022.pth', 'consolidated-00015-of-00022.pth', 'consolidated-00016-of-00022.pth', 'consolidated-00017-of-00022.pth', 'consolidated-00018-of-00022.pth', 'consolidated-00019-of-00022.pth', 'consolidated-00020-of-00022.pth', 'consolidated-00021-of-00022.pth', 'consolidated-00022-of-00022.pth', 'consolidated.pth.index.json', 'params.json', 'tokenizer.model']"
Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Meta-Llama-3.1-8B-Instruct,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Meta-Llama-3-1-8B-Instruct-20241217/,False,"['README.md', 'tokenizer_config.json']","['special_tokens_map.json.old', 'tokenizer.json.old', 'tokenizer_config.json.old']",[]
Meta-Llama-3.2-1B-Instruct,Meta-Llama-3.2-1B-Instruct,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/meta-llama-Llama-3.2-1B-Instruct_untie,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_2_Experts/Llama-3.2-1B-Instruct-TP16-20241218/,False,['tokenizer.json'],[],[]
Meta-Llama-3.2-3B-Instruct,Meta-Llama-3.2-3B-Instruct,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/meta-llama-Llama-3.2-3B-Instruct_untie,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Llama-3.2-3B-Instruct-TP8-20241218/,False,"['model-00001-of-00004.safetensors', 'model-00002-of-00004.safetensors', 'model-00003-of-00004.safetensors', 'model-00004-of-00004.safetensors', 'tokenizer.json']",[],[]
Meta-Llama-3.3-70B-Instruct,Meta-Llama-3.3-70B-Instruct,gs://acp-coe-models-checkpoints-prod-0/version/0.1.0/pefs-checkpoints/ckpts/Llama-3.3-70B-Instruct,{{ARTIFACTS_REPO}}/modelbox/checkpoints/Samba1_1_Llama3_Experts/Llama-3.3-70B-Instruct/,False,"['.gitattributes', 'tokenizer_config.json']",[],"['checklist.chk', 'params.json', 'tokenizer.model']"
